,AreaName,AvgPrice,Latitude,Longitude,PinCode,District
0,Uttam Nagar,7486,28.618535,77.056782,110059,West District
1,Uttam Nagar West,6762.32,28.618535,77.056782,110059,West District
2,Malviya Nagar,11703.7,28.534883,77.210245,110017,South District
3,Laxmi Nagar,11858.86,28.635202,77.283208,110092,East District
4,Greater Kailash 1,17797.51,28.548714,77.236102,110048,South East Delhi District
5,Saket,13995.16,28.523848,77.206773,110017,South District
6,Defence Colony,20939.86,28.573199,77.232795,110024,South East Delhi District
7,Safdarjung Enclave,21743.02,28.565741,77.194877,110029,South District
8,Vasant Kunj,68576.87,28.51498,77.153245,110070,South District
9,Greater Kailash Ii,16788.9,28.534883,77.241845,110048,South East Delhi District
10,Vasant Vihar,48856.77,28.564479,77.161155,110057,New Delhi District
11,Dwarka More,50359.58,28.618973,77.031514,110059,South West District
12,Panchsheel Park,60449.23,28.543272,77.215076,110017,South District
13,Panchsheel Enclave,19538.06,28.543794,77.229476,110017,South District
14,Shivalik,19444.44,28.532298,77.206525,110017,South District
15,Sarita Vihar,34203.51,28.530896,77.294073,110076,South East Delhi District
16,Chhawla,4819.7,28.561283,77.002434,110071,South West District
17,Chattarpur,28422.15,28.48533,77.174925,110030,South District
18,Khanpur,4519.11,28.509519,77.230424,110062,South District
19,Geetanjali Enclave,22596.56,28.530191,77.201991,110017,South District
20,Mayur Vihar Phase 1,18115.21,28.598894,77.294371,110091,East District
21,New Friends Colony,12636.03,28.565556,77.27041,110025,South East Delhi District
22,Burari,5894.39,28.755099,77.199031,110084,Central District
23,Sector 19 Dwarka,17552.53,28.576972,77.053127,110075,South West District
24,Kalkaji,57796.75,28.541421,77.255747,110019,South East Delhi District
25,Sector 12 Dwarka,15714.44,28.594672,77.042238,110078,South West District
26,Sector 22 Dwarka,19363.67,28.560631,77.059501,110077,New Delhi District
27,Hauz Khas,21539.83,28.549648,77.207748,110016,South District
28,Raja Puri,4587.62,28.709453,77.183525,110009,North District
29,Sarvodaya Enclave,22216.05,28.537996,77.201102,110017,South District
