,AreaName,District,PinCode,Longitude,Latitude,Cluster,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue
0,Peeragarhi Village,West District,110087,77.0906,28.6764,0,ATM,Hotel Bar,Train Station,Entertainment Service,Food Truck
1,Mansa Ram Park,West District,110059,77.039019,28.617651,0,ATM,IT Services,Pet Store,Entertainment Service,Food Truck
2,Mansa Ram Park Park Path,West District,110059,77.039019,28.617651,0,ATM,IT Services,Pet Store,Entertainment Service,Food Truck
3,Sainik Nagar Mansa Ram Park,West District,110059,77.039019,28.617651,0,ATM,IT Services,Pet Store,Entertainment Service,Food Truck
4,C Block Janakpuri Road,West District,110058,77.093496,28.620621,0,ATM,Spa,Clothing Store,Fast Food Restaurant,Event Space
5,Deoli Gaon Nai Basti,South District,110062,77.234013,28.505528,0,ATM,Trail,Chinese Restaurant,Entertainment Service,Food Truck
6,Devli Extention Deoli Gaon Nai Basti,South District,110062,77.234013,28.505528,0,ATM,Trail,Chinese Restaurant,Entertainment Service,Food Truck
7,Devli Nai Basti,South District,110062,77.234013,28.505528,0,ATM,Trail,Chinese Restaurant,Entertainment Service,Food Truck
8,Dcm Road,Central District,110007,77.204021,28.662616,0,Afghan Restaurant,Train Station,Yoga Studio,Event Space,Football Stadium
9,B K Dutt Colony,South East Delhi District,110003,77.215914,28.581666,0,Airport,Football Stadium,Antique Shop,Bakery,Yoga Studio
10,Shankar Vihar,New Delhi District,110010,77.14623,28.566631,0,Airport Food Court,Yoga Studio,Fabric Shop,French Restaurant,Football Stadium
11,Guru Ram Das Nagar,North District,110007,77.198608,28.687432,0,Arcade,Bakery,Cheese Shop,Yoga Studio,Farm
12,Pocket 11 Sector B,South District,110070,77.151477,28.532134,0,Arcade,Bakery,Thai Restaurant,Clothing Store,Yoga Studio
13,Freedom Fighter Enclave Road,South District,110062,77.201279,28.508718,0,Asian Restaurant,Yoga Studio,Fabric Shop,French Restaurant,Football Stadium
14,Commonwealth Games Village,East District,110092,77.273474,28.615,0,Athletics & Sports,History Museum,Event Space,Football Stadium,Food Truck
15,Sector 3 Dwarka,West District,110078,77.044155,28.606630999999997,0,Auto Workshop,Motorcycle Shop,Convenience Store,Park,Business Service
16,Chitra Vihar,East District,110092,77.28591900000002,28.642648000000005,0,BBQ Joint,Clothing Store,Dessert Shop,Shopping Mall,Bar
17,Mandakini Enclave,South East Delhi District,110019,77.248602,28.529337,0,BBQ Joint,Food & Drink Shop,Thai Restaurant,Gym,New American Restaurant
18,Alaknanda,South East Delhi District,110019,77.250154,28.527939,0,BBQ Joint,Steakhouse,Food & Drink Shop,Market,New American Restaurant
19,Narmada Apartments,South East Delhi District,110019,77.248206,28.527007000000005,0,BBQ Joint,Thai Restaurant,Gym,New American Restaurant,Yoga Studio
20,Dilshad Colony,Shahdara District,110095,77.326317,28.6884,0,BBQ Joint,Yoga Studio,Frozen Yogurt Shop,French Restaurant,Football Stadium
21,Dilshad Colony New Simapuri,Shahdara District,110095,77.326317,28.6884,0,BBQ Joint,Yoga Studio,Frozen Yogurt Shop,French Restaurant,Football Stadium
22,Ram Nagar Extension,Shahdara District,110051,77.282714,28.654776,0,Bakery,Department Store,Yoga Studio,Farm,French Restaurant
23,Sudarshan Park,West District,110015,77.132877,28.660094,0,Bakery,Gym / Fitness Center,Yoga Studio,Fried Chicken Joint,Football Stadium
24,Block Jp Poorvi Pitampura,North West District,110034,77.14598,28.702801999999995,0,Bakery,Shopping Mall,Hotel,Coffee Shop,Spa
25,Dwarka Sec 6,South West District,110075,77.065686,28.59306,0,Bakery,Yoga Studio,Frozen Yogurt Shop,French Restaurant,Football Stadium
26,Sector 6 Dwarka,South West District,110075,77.065686,28.59306,0,Bakery,Yoga Studio,Frozen Yogurt Shop,French Restaurant,Football Stadium
27,Bamnoli,South West District,110077,77.031618,28.545682,0,Bank,Auto Garage,Yoga Studio,Farm,French Restaurant
