,AreaName,District,PinCode,Latitude,Longitude,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue
0,10 Dwarka Sector 9 Road,South West District,110077,28.57934,77.065129,Indian Restaurant,Food Truck,Event Space,Football Stadium,Food Court
1,10 Sector Dwarka,South West District,110075,28.590611,77.057569,Indian Restaurant,Fast Food Restaurant,Event Space,Football Stadium,Food Truck
2,102 Sector 21 Road,North West District,110086,28.712744,77.069416,Flea Market,Yoga Studio,Event Space,Football Stadium,Food Truck
3,103 Sector 21 Road,North West District,110086,28.711812,77.068569,Flea Market,Yoga Studio,Event Space,Football Stadium,Food Truck
4,103 Sector Road,North District,110042,28.735093,77.142806,Metro Station,Yoga Studio,Fried Chicken Joint,Football Stadium,Food Truck
5,109 Sector 21 Road,North West District,110086,28.711593,77.06527,ATM,Lake,Event Space,Football Stadium,Food Truck
6,119 Sector 6 Road,South West District,110059,28.602664,77.06306,Bus Station,Yoga Studio,Fabric Shop,Football Stadium,Food Truck
7,137 Sector 13 Main Road,South West District,110078,28.604477,77.034784,Diner,Fast Food Restaurant,Grocery Store,Fried Chicken Joint,Yoga Studio
8,22 Sector 13 Main Road,North West District,110086,28.721875,77.056835,IT Services,Yoga Studio,Event Space,Football Stadium,Food Truck
9,4 Dwarka Sector 9 Road,South West District,110077,28.57934,77.065129,Indian Restaurant,Food Truck,Event Space,Football Stadium,Food Court
10,4 Sector 4 Road,New Delhi District,110021,28.578168,77.170562,Pizza Place,Coffee Shop,Multiplex,South Indian Restaurant,Department Store
11,6 Sector 13 Main Road,North District,110085,28.716626,77.130988,Pizza Place,Food,Shopping Mall,Café,Dessert Shop
12,65 Sector Road,North District,110042,28.734693,77.142685,Metro Station,Yoga Studio,Fried Chicken Joint,Football Stadium,Food Truck
13,78 Sector 6 Road,North West District,110085,28.71291,77.11147,Shopping Mall,Department Store,Multiplex,Rest Area,Yoga Studio
14,89 Sector 22 Road,North West District,110086,28.718233,77.062444,Indian Restaurant,Bakery,Restaurant,French Restaurant,Food Truck
15,A Block Road,North West District,110083,28.700281,77.094663,Motorcycle Shop,Airport,Fabric Shop,French Restaurant,Football Stadium
16,A1 Block Paschim Vihar Delhi,West District,110063,28.669306,77.093265,Hotel,Indian Restaurant,Food Truck,Coffee Shop,Event Space
17,Abul Fazal Enclave,South East Delhi District,110025,28.54637,77.307199,Fast Food Restaurant,Hotel,Park,Yoga Studio,Entertainment Service
18,Abul Fazal Enclave Jamia Nagar,South East Delhi District,110025,28.555496,77.297802,Department Store,Arcade,Indian Restaurant,Playground,Kebab Restaurant
19,Abul Fazal Enclave Part 2 New Delhi,South East Delhi District,110025,28.549208,77.299861,Mobile Phone Shop,Park,Metro Station,Fast Food Restaurant,Yoga Studio
20,Aerocity,New Delhi District,110037,28.552015999999988,77.121662,Hotel,Indian Restaurant,Coffee Shop,Buffet,Shopping Mall
21,Ahinsa Vihar Road,North District,110085,28.712273,77.123604,Basketball Court,Café,Yoga Studio,Fried Chicken Joint,Football Stadium
22,Akshardham,East District,110092,28.612332,77.27833,History Museum,Hindu Temple,Yoga Studio,Entertainment Service,Food Truck
23,Akshardham Road,East District,110092,28.612332,77.27833,History Museum,Hindu Temple,Yoga Studio,Entertainment Service,Food Truck
24,Alaknanda,South East Delhi District,110019,28.527939,77.250154,BBQ Joint,Steakhouse,Food & Drink Shop,Market,New American Restaurant
25,Alaknanda Dda Flats Road,Shahdara District,110032,28.685531,77.276792,IT Services,Yoga Studio,Event Space,Football Stadium,Food Truck
26,Alaknanda Gangotri Enclave,South East Delhi District,110019,28.524453,77.252141,Steakhouse,Food & Drink Shop,Coffee Shop,Market,New American Restaurant
27,Ambica Vihar,West District,110087,28.665092,77.080354,Cosmetics Shop,Buffet,Asian Restaurant,Yoga Studio,Fabric Shop
28,Anand Lok,South District,110049,28.557200999999996,77.218116,Café,Other Great Outdoors,Hotel,Dessert Shop,Golf Course
29,Anand Niketan,New Delhi District,110021,28.579845,77.164595,Pizza Place,Café,Hotel,University,Food Truck
30,Antriksh Bhawan,New Delhi District,110001,28.628719999999998,77.222853,Café,Indian Restaurant,Bistro,Fast Food Restaurant,Beer Garden
31,Anupam Garden 10Th Lane,South District,110017,28.514134,77.208503,Hostel,Bar,Bakery,Yoga Studio,Fabric Shop
32,Arjun Nagar,South District,110029,28.561888000000003,77.19800199999999,Indian Restaurant,Coffee Shop,Restaurant,Mexican Restaurant,Jazz Club
33,Ashirwad,West District,110059,28.622128,77.058429,Pizza Place,Health & Beauty Service,Train Station,Astrologer,Mobile Phone Shop
34,Ashok Nagar,West District,110018,28.635974,77.101596,Fast Food Restaurant,Café,Ice Cream Shop,Yoga Studio,Football Stadium
35,Ashok Vihar,North West District,110052,28.6916,77.167153,Department Store,Dessert Shop,Snack Place,Basketball Court,Yoga Studio
36,Ashok Vihar Phase-1,North West District,110052,28.6916,77.167153,Department Store,Dessert Shop,Snack Place,Basketball Court,Yoga Studio
37,Ashram,South East Delhi District,110014,28.578917,77.259447,Moving Target,Garden Center,Bakery,Historic Site,Shopping Mall
38,Aya Nagar,South District,110047,28.475084,77.133169,Tourist Information Center,Yoga Studio,Event Space,Football Stadium,Food Truck
39,Azad Apartments,South District,110016,28.542398,77.20163,Event Space,Coffee Shop,Metro Station,Nightclub,Fabric Shop
40,B K Dutt Colony,South East Delhi District,110003,28.581666,77.215914,Airport,Football Stadium,Antique Shop,Bakery,Yoga Studio
