,AreaName,District,PinCode,AreaLatitude,AreaLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
0,Uttam Nagar,West District,110059,28.618535,77.056782,Pravin Printers,28.617726,77.056993,Paper / Office Supplies Store
1,Uttam Nagar,West District,110059,28.618535,77.056782,My Idea Store,28.618993,77.05631,Mobile Phone Shop
2,Uttam Nagar,West District,110059,28.618535,77.056782,Shreejan Astro Center,28.620541918749836,77.05716133117676,Astrologer
3,Uttam Nagar,West District,110059,28.618535,77.056782,Uttam Nagar West Metro Station,28.621728566624,77.05572366714478,Train Station
4,Uttam Nagar,West District,110059,28.618535,77.056782,Domino's Pizza,28.622,77.057,Pizza Place
5,Uttam Nagar,West District,110059,28.618535,77.056782,Domino's Pizza,28.622,77.056,Pizza Place
6,Uttam Nagar,West District,110059,28.618535,77.056782,Litti Haat,28.61653144099039,77.05272195838764,Indian Restaurant
7,Uttam Nagar West,West District,110059,28.618535,77.056782,Pravin Printers,28.617726,77.056993,Paper / Office Supplies Store
8,Uttam Nagar West,West District,110059,28.618535,77.056782,My Idea Store,28.618993,77.05631,Mobile Phone Shop
9,Uttam Nagar West,West District,110059,28.618535,77.056782,Shreejan Astro Center,28.620541918749836,77.05716133117676,Astrologer
10,Uttam Nagar West,West District,110059,28.618535,77.056782,Uttam Nagar West Metro Station,28.621728566624,77.05572366714478,Train Station
11,Uttam Nagar West,West District,110059,28.618535,77.056782,Domino's Pizza,28.622,77.057,Pizza Place
12,Uttam Nagar West,West District,110059,28.618535,77.056782,Domino's Pizza,28.622,77.056,Pizza Place
13,Uttam Nagar West,West District,110059,28.618535,77.056782,Litti Haat,28.61653144099039,77.05272195838764,Indian Restaurant
14,Malviya Nagar,South District,110017,28.534883,77.210245,Nazeer,28.5366512218557,77.21182101423967,Asian Restaurant
15,Malviya Nagar,South District,110017,28.534883,77.210245,T'POT,28.53743251744998,77.21041331491391,Café
16,Malviya Nagar,South District,110017,28.534883,77.210245,Dunkin' Donuts,28.536585845301875,77.21170457740932,Donut Shop
17,Malviya Nagar,South District,110017,28.534883,77.210245,Subway,28.533422642814458,77.20855341677142,Sandwich Place
18,Malviya Nagar,South District,110017,28.534883,77.210245,Malviya Nagar Market,28.53550891138699,77.21173679894316,Miscellaneous Shop
19,Malviya Nagar,South District,110017,28.534883,77.210245,Domino's Pizza,28.534,77.209,Pizza Place
20,Malviya Nagar,South District,110017,28.534883,77.210245,"Cafe Coffee Day, Malviya Nagar",28.53604304703309,77.20982228836188,Coffee Shop
21,Malviya Nagar,South District,110017,28.534883,77.210245,Cafe coffee Day,28.53779843973299,77.21263509234821,Coffee Shop
22,Malviya Nagar,South District,110017,28.534883,77.210245,Barista,28.53352121877712,77.20638089485482,Coffee Shop
23,Malviya Nagar,South District,110017,28.534883,77.210245,Pema's,28.534501590202943,77.20723400046695,Chinese Restaurant
24,Laxmi Nagar,East District,110092,28.635202,77.283208,v3s mall,28.636856146169,77.28536292107172,Arcade
25,Laxmi Nagar,East District,110092,28.635202,77.283208,Pizza Hut,28.63700855933603,77.28631762412246,Pizza Place
26,Laxmi Nagar,East District,110092,28.635202,77.283208,cafe coffee day,28.637653750108345,77.28626065294608,Café
27,Laxmi Nagar,East District,110092,28.635202,77.283208,"V3S Mall, East Center",28.63715376841017,77.28671550750732,Shopping Mall
28,Laxmi Nagar,East District,110092,28.635202,77.283208,subway,28.637389824083073,77.28640653372621,Mediterranean Restaurant
29,Laxmi Nagar,East District,110092,28.635202,77.283208,Archies,28.63675541141686,77.28699566579861,Gift Shop
30,Laxmi Nagar,East District,110092,28.635202,77.283208,Hallmark,28.637160172675294,77.2867992887702,Gift Shop
31,Laxmi Nagar,East District,110092,28.635202,77.283208,LIQUOR INN,28.637061616473076,77.28704616269559,Liquor Store
32,Laxmi Nagar,East District,110092,28.635202,77.283208,Food Court,28.637623497394127,77.28696761195755,Food Court
33,Greater Kailash 1,South East Delhi District,110048,28.548714,77.236102,Starbucks Coffee | स्टारबक्स कॉफी,28.54960620826635,77.2364359421832,Coffee Shop
34,Greater Kailash 1,South East Delhi District,110048,28.548714,77.236102,M Block Market,28.54962230719464,77.23546068207196,Market
35,Greater Kailash 1,South East Delhi District,110048,28.548714,77.236102,Sakleys- The Mountain Café,28.54983930523705,77.23580187868463,Café
36,Greater Kailash 1,South East Delhi District,110048,28.548714,77.236102,Prince Paan,28.550832594318994,77.23754557672642,Dessert Shop
37,Greater Kailash 1,South East Delhi District,110048,28.548714,77.236102,Moti Mahal,28.549408045956596,77.23631135811748,Indian Restaurant
